episode,total_reward,q_mean,q_max,q_min,critic_loss,policy_loss,action_mean,action_std,timestep,avg_reward,best_reward,worst_reward,advantage
46,-927.9395400550607,-18.894727589104715,138.90435141746443,-193.5300514401009,0.24115402911247227,18.51490646199345,0.4164364,0.28036875,4300,0,0,0,-0.003284183584830978
47,-860.7566088912828,-19.634644186456597,141.71744857813775,-196.78593814734256,0.14232763893877215,19.19472635595084,0.37327427,0.28666213,4400,0,0,0,-0.0021868255561662943
48,-1319.3006869443484,-20.042789574825402,145.85255391991097,-198.5560345890546,0.20320020071685516,19.585747244984212,0.3537918,0.2891452,4500,0,0,0,-0.002865339546254287
49,-1375.7293269297368,-20.11601490284056,145.89812899599173,-201.99016825358072,0.19493587821822375,19.687972342325782,0.35617563,0.2931322,4600,0,0,0,-0.0025669232164493914
50,-644.0254019910907,-20.05394663975295,148.44404533816507,-207.9252137463502,0.17456555800506163,19.581495014906732,0.30780333,0.30410957,4700,0,0,0,0.0005461788769209325
51,-564.7404682014267,-20.936937511167944,149.9280506609265,-208.22043571086846,0.1714898902007225,20.344108580338833,0.23955159,0.31493816,4800,0,0,0,-0.001983426967541678
52,-81.88806297571078,-20.568708872955657,151.47869027584088,-213.11967565876867,0.21058684173557493,20.023667629319007,0.24849403,0.32321322,4900,0,0,0,0.00038467860162910385
53,-311.2900295528807,-20.788519268485434,151.7002022081754,-213.8767800379281,0.16600213197345284,20.29992298184822,0.26066124,0.32894257,5000,0,0,0,0.0026191944391262853
54,0.7182962637794297,-19.23206889629364,170.2143678665161,-205.21330769856772,0.17413227756818137,18.732961177825928,0.2647617,0.33700457,5002,0,0,0,-0.08816809269289176
55,-6.758270425095617,-20.800533931068824,155.7487568401155,-220.2730948000538,0.20893272929856566,20.324053354409276,0.2722333,0.33609962,5100,0,0,0,0.0012615134220468958
56,-280.0508647084804,-21.26504785645289,155.66690834443577,-219.54168094930424,0.19469270983127632,20.800665859923217,0.26357764,0.3341088,5200,0,0,0,0.000962739964000103
57,-439.7904696660084,-20.515513184596394,157.97942771654738,-221.9662664137304,0.21749370206486096,20.06348260564836,0.26317576,0.33463073,5300,0,0,0,-0.0009977816673064673
58,-567.6091346125506,-21.11746249636416,158.431248865545,-225.9976963338627,0.17132706551339089,20.66329851716456,0.26560727,0.3363414,5400,0,0,0,-0.0002813557592480873
59,-271.10522786887975,-21.854065201699935,158.6108982137558,-225.44746023878105,0.195023113178083,21.39496789024735,0.26743475,0.33617195,5500,0,0,0,0.0012548582609554733
60,-32.328643700279656,-21.706599966042774,164.18057946163395,-230.4621659609605,0.17788308663199645,21.23457397495456,0.27321714,0.33751068,5600,0,0,0,-0.0001802247390778177
61,-266.58707636557233,-21.647015385254466,166.14948402751577,-237.6141552138409,0.19886562514184702,21.17418159077866,0.27550176,0.33773044,5700,0,0,0,-0.0008047921700647684
62,-505.0065860346723,-21.707645668927267,165.93398409660418,-239.263531360562,0.18855813321240422,21.238515663026558,0.2781401,0.3402886,5800,0,0,0,-0.0019091316044129907
63,-49.399549775247635,-21.99911864839419,168.33425467423717,-238.91877109514743,0.19832281763304765,21.541065838200478,0.28264767,0.34278718,5900,0,0,0,-0.0011427264162010016
64,-74.64402427920692,-22.686947065170365,168.5961542819887,-241.85822488804055,0.2743059921545613,22.196265039821267,0.31031293,0.35701013,6000,0,0,0,0.0009773573085590445
65,-0.1742744383410626,-20.755916118621826,178.69867038726807,-220.91517639160156,0.17789617429176965,20.235963582992554,0.3220645,0.3604385,6002,0,0,0,0.023457669963439304
66,-27.029692578461553,-21.87457069987748,167.1928286990341,-243.67981496797938,0.19491881583215429,21.37014046797947,0.32731217,0.36332774,6100,0,0,0,-0.0007775132766082173
67,-221.6227947493807,-22.27181744766155,169.88327962220316,-245.32889246057582,0.19107254674840055,21.770287504099837,0.33039972,0.364606,6200,0,0,0,-0.0005040645382997363
68,-112.93279826503317,-21.979071777677696,172.32819554139468,-246.0297052659571,0.26471576769444277,21.479828648093573,0.33256492,0.36491403,6300,0,0,0,-8.374147010521857e-05
69,40.926613702279084,-22.075183365481468,170.022508189333,-249.46872318152225,0.26024152634521125,21.57127284180837,0.33195642,0.36352405,6400,0,0,0,-0.0006951689626080821
70,-40.981810048682235,-22.13636517584926,173.47154375519415,-252.45882058705544,0.21326803649314727,21.627044652848934,0.34196275,0.36617464,6500,0,0,0,-0.0011918038209768557
71,-41.754487695322446,-22.25710868293589,176.85400160555085,-253.04218587650595,0.21635592540707252,21.734029235061172,0.34752694,0.36830112,6600,0,0,0,0.001017482093651387
72,-55.51659562207796,-21.981122697744304,176.52744304451477,-250.79341911547112,0.3193499301419114,21.458556064050207,0.35074246,0.3688711,6700,0,0,0,0.0009317569409556662
73,-138.44973466245682,-22.329096888050888,174.3931382127884,-255.37994492656054,0.21934471580416265,21.799783926620226,0.3563831,0.37624907,6800,0,0,0,-0.000740496054454785
74,-329.41972761675163,-21.951824113977477,180.09477691297178,-258.13418784607137,0.220216946870791,21.369501671807132,0.39077488,0.39664343,6900,0,0,0,0.0011966641888850266
75,-470.31578545546074,-22.54298591091978,180.06779959546998,-256.48155746716844,0.21937740528924699,21.946185033329407,0.39200586,0.40472418,7000,0,0,0,0.002533677835268304
76,-0.5693505484696386,-22.10647424062093,200.49582767486572,-241.32198588053384,0.275823970635732,21.51609230041504,0.39181384,0.41009402,7002,0,0,0,-0.08103060722351074
77,-563.9729738638061,-21.79340712999811,181.5504964257584,-257.7695929598646,0.23473955564150195,21.181987509030062,0.4152454,0.4217037,7100,0,0,0,0.0022306586821645904
78,-208.77652556995736,-22.58716503056613,180.56467249256994,-266.37917011916034,0.2687700921136522,21.9512920520121,0.43283296,0.42402157,7200,0,0,0,0.0013514160670917042
79,-264.24022458382774,-21.91421829429941,184.97192049347592,-264.1591994674117,0.2682921442670453,21.285115571937176,0.429417,0.4267546,7300,0,0,0,0.00048284404142838136
80,-255.7394816525936,-22.146502331952856,186.7504306578074,-262.52042843597104,0.2549990473271219,21.51760092829213,0.42688978,0.42808455,7400,0,0,0,0.0020943079520054537
81,-194.6411653681286,-22.441907235668968,183.50443388877895,-263.6531777430062,0.23645836568942374,21.8173269290314,0.42830506,0.42696205,7500,0,0,0,0.0028438710800437915
82,-59.57503937045358,-22.121565684124274,184.2944849251898,-265.54788726909396,0.3401462510228157,21.502345659716763,0.43431702,0.42681485,7600,0,0,0,0.001244213828748023
83,-6.771620853193042,-22.079317264685326,186.08025448089498,-265.23563397853866,0.28805643543350173,21.45696005656663,0.44015396,0.42706835,7700,0,0,0,-0.0003487101672938476
84,-324.0735041082719,-21.880690408074095,188.6606533583567,-273.3750093505037,0.2908437852606629,21.25708755700275,0.44530958,0.42669892,7800,0,0,0,0.0011391401156055606
85,-497.2373342568653,-22.283789016783036,185.76308440519904,-268.79145427665327,0.3044894883026579,21.658898655814355,0.44431415,0.4272693,7900,0,0,0,0.00020624982719921102
86,-48.743927189265094,-21.67716420258737,183.29078502366036,-271.1561434453585,0.2733067684502714,21.055460620006727,0.4455289,0.42581964,8000,0,0,0,0.0023687704817489143
87,-1.43801027037372,-20.89271879196167,160.68816375732422,-279.45871988932294,0.21647403637568155,20.285176912943523,0.4298761,0.42437395,8002,0,0,0,-0.011077404022216797
88,-485.8637492226921,-21.228188797324695,188.52041036255505,-271.5599056944555,0.2794618926131401,20.606854648006205,0.44637117,0.42513016,8100,0,0,0,0.0017597230205147647
89,-70.08841141690806,-21.71500768424686,190.88002513635038,-275.159188421487,0.3157150729838445,21.095842302648308,0.44514117,0.4241788,8200,0,0,0,0.0027171818457970313
90,-156.24397858813668,-21.772024651970526,193.668542995196,-275.62049105352025,0.3019320066228057,21.162657056191954,0.44665876,0.423847,8300,0,0,0,0.00021754503908632983
91,-310.4857820736903,-21.169535250776143,196.68392485801618,-276.14426131842515,0.3434823811656297,20.55776730852095,0.4516656,0.42231873,8400,0,0,0,0.0018016157235937688
92,-70.20009676219807,-21.58582091150862,191.96682986025056,-275.59435737173163,0.29501294766110603,20.973243625477107,0.45610797,0.42279223,8500,0,0,0,0.001307205922638226
93,-408.99129331188124,-21.475076135561523,193.5808212476146,-277.4114659370397,0.3042151206972623,20.86388512372168,0.45602494,0.42192268,8600,0,0,0,0.003340094662287119
94,-132.0306294232478,-20.7630907084404,194.91203292532,-283.8839727844855,0.31819424783240263,20.138646441075938,0.4570813,0.42099884,8700,0,0,0,0.0010639850037667887
95,-48.31934990041688,-21.705004032212074,192.3566417726202,-280.3159385193077,0.32558473422872497,21.08626629005779,0.4559971,0.4202593,8800,0,0,0,0.0024573057294142767
96,-147.23240418097748,-20.877010113462454,195.22130397514061,-280.4954949581262,0.35188453418738913,20.251075128714245,0.4629532,0.41945043,8900,0,0,0,0.002970604851578522
97,-246.63826381975144,-21.096040617335927,197.0716575950083,-281.60217742406155,0.36471895778219304,20.487042800344604,0.45905095,0.41933763,9000,0,0,0,0.0010687760140132222
98,1.3340601535730854,-18.723334948221844,208.04606946309408,-257.95119222005206,0.3935748140017192,18.094865163167317,0.47228312,0.42050162,9002,0,0,0,0.06280554831027985
99,-284.9793512731166,-21.17839586329298,193.65675519112827,-287.6485895688842,0.3584277329801702,20.544570014184835,0.4525569,0.42155948,9100,0,0,0,0.0016519594066427882
